x,y,z,Tiempo,time stamp
-0.04410972,0.1045478,0.01280009,0.0980118,27/07/2021 02:32:37 a. m.
-0.04228621,0.1044382,0.01136471,0.1022315,27/07/2021 02:32:37 a. m.
-0.03919777,0.1035857,0.008292079,0.09909,27/07/2021 02:32:37 a. m.
-0.03697873,0.1020643,0.003608175,0.1031454,27/07/2021 02:32:37 a. m.
-0.03585845,0.09939221,-0.001576953,0.0975737,27/07/2021 02:32:37 a. m.
-0.03520522,0.09643914,-0.006532006,0.0995117,27/07/2021 02:32:37 a. m.
-0.03646474,0.09290177,-0.01181749,0.0984898,27/07/2021 02:32:37 a. m.
-0.03828997,0.08926784,-0.0171066,0.099897,27/07/2021 02:32:37 a. m.
-0.04073806,0.08612319,-0.0214173,0.1031314,27/07/2021 02:32:37 a. m.
-0.04262726,0.0834742,-0.02601545,0.0987655,27/07/2021 02:32:38 a. m.
-0.04311773,0.08122423,-0.0301854,0.102119,27/07/2021 02:32:38 a. m.
-0.04320209,0.07984748,-0.03469744,0.0982184,27/07/2021 02:32:38 a. m.
-0.04258463,0.07862602,-0.03924732,0.0989468,27/07/2021 02:32:38 a. m.
-0.04008008,0.07784486,-0.04511985,0.1017472,27/07/2021 02:32:38 a. m.
-0.03824418,0.07682918,-0.05266748,0.0982977,27/07/2021 02:32:38 a. m.
-0.03697873,0.07585935,-0.06016384,0.1026275,27/07/2021 02:32:38 a. m.
-0.03880979,0.07437256,-0.06523478,0.0955458,27/07/2021 02:32:38 a. m.
-0.04161782,0.07561061,-0.06945586,0.0981364,27/07/2021 02:32:38 a. m.
-0.04442528,0.07546867,-0.0717568,0.1053147,27/07/2021 02:32:38 a. m.
-0.0485438,0.07535833,-0.07348126,0.0984581,27/07/2021 02:32:39 a. m.
-0.0533369,0.07344134,-0.07451358,0.1033114,27/07/2021 02:32:39 a. m.
-0.05773888,0.0723754,-0.07679744,0.0948303,27/07/2021 02:32:39 a. m.
-0.05897251,0.07192899,-0.07971959,0.1046423,27/07/2021 02:32:39 a. m.
-0.05712313,0.07240312,-0.08325054,0.0980212,27/07/2021 02:32:39 a. m.
-0.05340842,0.07343444,-0.08674875,0.0989739,27/07/2021 02:32:39 a. m.
-0.04971643,0.0746377,-0.090195,0.1019585,27/07/2021 02:32:39 a. m.
-0.04737646,0.07586801,-0.09301531,0.0974502,27/07/2021 02:32:39 a. m.
-0.04797942,0.07591445,-0.09646632,0.1035789,27/07/2021 02:32:39 a. m.
-0.04944674,0.07455622,-0.09949598,0.0982276,27/07/2021 02:32:39 a. m.
-0.05017973,0.07295554,-0.1020281,0.0974132,27/07/2021 02:32:40 a. m.
-0.05064933,0.07223234,-0.1015195,0.1035647,27/07/2021 02:32:40 a. m.
-0.05016641,0.07057082,-0.0999099,0.0978338,27/07/2021 02:32:40 a. m.
-0.04950278,0.07060196,-0.09930721,0.100439,27/07/2021 02:32:40 a. m.
-0.04739456,0.07050436,-0.09871763,0.1005945,27/07/2021 02:32:40 a. m.
-0.04518262,0.07200301,-0.09679593,0.1017652,27/07/2021 02:32:40 a. m.
-0.0446875,0.07246495,-0.0955774,0.0990688,27/07/2021 02:32:40 a. m.
-0.04675101,0.07794362,-0.09402317,0.0978117,27/07/2021 02:32:40 a. m.
-0.04712244,0.07894585,-0.09395435,0.10002,27/07/2021 02:32:40 a. m.
-0.04759069,0.0782184,-0.09117632,0.1012136,27/07/2021 02:32:40 a. m.
-0.04687482,0.07790104,-0.08440876,0.1020021,27/07/2021 02:32:41 a. m.
-0.04446705,0.07890917,-0.07542391,0.0981296,27/07/2021 02:32:41 a. m.
-0.04480151,0.07820144,-0.07255092,0.0988938,27/07/2021 02:32:41 a. m.
-0.04769933,0.07687351,-0.07244581,0.1022733,27/07/2021 02:32:41 a. m.
-0.0501334,0.07418682,-0.07165031,0.0988038,27/07/2021 02:32:41 a. m.
-0.04859912,0.07190579,-0.06909007,0.1018412,27/07/2021 02:32:41 a. m.
-0.04720269,0.07226306,-0.06556387,0.0978812,27/07/2021 02:32:41 a. m.
-0.04588319,0.07262206,-0.0644192,0.1036835,27/07/2021 02:32:41 a. m.
-0.0456724,0.07374316,-0.06633395,0.0969969,27/07/2021 02:32:41 a. m.
-0.04821883,0.07662591,-0.07013091,0.0983711,27/07/2021 02:32:41 a. m.
-0.05244416,0.07481477,-0.07517964,0.101971,27/07/2021 02:32:42 a. m.
-0.05732098,0.07309125,-0.08267072,0.099165,27/07/2021 02:32:42 a. m.
-0.05881463,0.07134363,-0.08678652,0.1022019,27/07/2021 02:32:42 a. m.
-0.05813105,0.07130016,-0.08737795,0.0979114,27/07/2021 02:32:42 a. m.
-0.0567604,0.07116902,-0.08619863,0.0981908,27/07/2021 02:32:42 a. m.
-0.05558865,0.07178552,-0.0873673,0.1029182,27/07/2021 02:32:42 a. m.
-0.05247146,0.07263809,-0.08793414,0.0977261,27/07/2021 02:32:42 a. m.
-0.04929262,0.07333177,-0.08849919,0.1030372,27/07/2021 02:32:42 a. m.
-0.04890735,0.07233249,-0.09146571,0.0983178,27/07/2021 02:32:42 a. m.
-0.05134356,0.07176936,-0.09681562,0.0979849,27/07/2021 02:32:42 a. m.
-0.05105007,0.07135633,-0.1016208,0.1027246,27/07/2021 02:32:43 a. m.
-0.0491267,0.06996793,-0.1035951,0.0979601,27/07/2021 02:32:43 a. m.
-0.04779004,0.07016643,-0.1035698,0.1030589,27/07/2021 02:32:43 a. m.
-0.0478671,0.0703898,-0.1035413,0.0978515,27/07/2021 02:32:43 a. m.
-0.04775151,0.07005472,-0.1035841,0.1015855,27/07/2021 02:32:43 a. m.
-0.04782857,0.07027812,-0.1035556,0.0998438,27/07/2021 02:32:43 a. m.
-0.04708267,0.07015841,-0.1035708,0.0972418,27/07/2021 02:32:43 a. m.
-0.04680825,0.07083354,-0.09868602,0.1023295,27/07/2021 02:32:43 a. m.
-0.04724213,0.07166796,-0.09386228,0.0968138,27/07/2021 02:32:43 a. m.
-0.04829863,0.07634446,-0.08898105,0.1040847,27/07/2021 02:32:43 a. m.
-0.04981491,0.08058284,-0.08828367,0.0985102,27/07/2021 02:32:44 a. m.
-0.05187801,0.0827582,-0.088219,0.0985815,27/07/2021 02:32:44 a. m.
-0.05318393,0.08471814,-0.08869961,0.1023294,27/07/2021 02:32:44 a. m.
-0.05383889,0.08665216,-0.08916612,0.0978992,27/07/2021 02:32:44 a. m.
-0.05410023,0.08918296,-0.08854955,0.1027682,27/07/2021 02:32:44 a. m.
-0.05420412,0.09292838,-0.08842367,0.0971501,27/07/2021 02:32:44 a. m.
-0.05619604,0.09684495,-0.0868172,0.0985893,27/07/2021 02:32:44 a. m.
-0.0602706,0.1004453,-0.08292,0.1034452,27/07/2021 02:32:44 a. m.
-0.06288023,0.1018114,-0.07915511,0.0975799,27/07/2021 02:32:44 a. m.
-0.06390747,0.1017848,-0.07584108,0.1024592,27/07/2021 02:32:44 a. m.
-0.06437045,0.1017344,-0.07298764,0.0978432,27/07/2021 02:32:45 a. m.
-0.06443827,0.1024023,-0.06877374,0.1032895,27/07/2021 02:32:45 a. m.
-0.06373561,0.1026139,-0.06353356,0.0981016,27/07/2021 02:32:45 a. m.
-0.06328544,0.1003071,-0.05769646,0.0984976,27/07/2021 02:32:45 a. m.
-0.06292678,0.09658141,-0.05118561,0.1020199,27/07/2021 02:32:45 a. m.
